event_key,event_date,event_time,event_first_player,first_player_key,event_first_player_logo,event_second_player,second_player_key,event_second_player_logo,event_final_result,event_game_result,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live
11756822,2022-01-01,00:05,A. Tabilo,2982,https://api.api-tennis.com/logo-tennis/2982_a-tabilo.jpg,P. Carreno-Busta,434,https://api.api-tennis.com/logo-tennis/434_p-carreno-busta.jpg,0 - 2,-,Second Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756823,2022-01-01,00:05,F. Delbonis,425,https://api.api-tennis.com/logo-tennis/425_f-delbonis.jpg,A. Metreveli,11179,https://api.api-tennis.com/logo-tennis/11179_a-metreveli.jpg,2 - 0,-,First Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756824,2022-01-01,01:30,D. Schwartzman,67,https://api.api-tennis.com/logo-tennis/67_d-schwartzman.jpg,N. Basilashvili,424,https://api.api-tennis.com/logo-tennis/424_n-basilashvili.jpg,2 - 0,-,First Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756825,2022-01-01,02:25,C. Garin,2071,https://api.api-tennis.com/logo-tennis/2071_c-garin.jpg,R. Bautista-Agut,2734,https://api.api-tennis.com/logo-tennis/2734_r-bautista-agut.jpg,0 - 2,-,Second Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756826,2022-01-01,07:35,M. Pervolarakis,1246,https://api.api-tennis.com/logo-tennis/1246_m-pervolarakis.jpg,K. Majchrzak,1096,https://api.api-tennis.com/logo-tennis/1096_k-majchrzak.jpg,0 - 2,-,Second Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756827,2022-01-01,07:35,F. Krajinovic,2166,https://api.api-tennis.com/logo-tennis/2166_f-krajinovic.jpg,V. Durasovic,1201,https://api.api-tennis.com/logo-tennis/1201_v-durasovic.jpg,2 - 0,-,First Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756828,2022-01-01,09:10,A. Thanos,749,,H. Hurkacz,2841,https://api.api-tennis.com/logo-tennis/2841_h-hurkacz.jpg,0 - 2,-,Second Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756829,2022-01-01,09:10,D. Lajovic,2675,https://api.api-tennis.com/logo-tennis/2675_d-lajovic.jpg,C. Ruud,430,https://api.api-tennis.com/logo-tennis/430_c-ruud.jpg,0 - 2,-,Second Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756830,2022-01-02,00:10,B. Schnur,2966,https://api.api-tennis.com/logo-tennis/2966_b-schnur.jpg,J. Isner,2383,https://api.api-tennis.com/logo-tennis/2383_j-isner.jpg,0 - 2,-,Second Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
11756831,2022-01-02,00:10,R. Safiullin,1057,https://api.api-tennis.com/logo-tennis/1057_r-safiullin.jpg,A. Rinderknech,1902,https://api.api-tennis.com/logo-tennis/1902_a-rinderknech.jpg,2 - 1,-,First Player,Finished,Atp Singles,ATP ATP Cup,3234,,2022,0
